"","CVD","MI","stroke","TOT","Beta","summer_tmean","winter_tmean","pm25","pcount","mean_bmi","smoke_rate","hispanic","pct_blk","medhouseholdincome","medianhousevalue","poverty","education","popdensity","CVD1865","MI1865","stroke1865","TOT1865","CVD6585","MI6585","stroke6585","TOT6585","CVD85","MI85","stroke85","TOT85","CVDrate","MIrate","strokerate","TOTrate"
"mean",26.420612418486,5.20158775163028,5.53855968244967,101.595265097817,0.355669550161166,20.7759917619063,-1.88753106941894,8.29536271703596,13694.4637085342,26.8237666743956,0.495191157707772,0.0582177323301956,0.0376853398260847,69621.3074256317,309805.002608339,0.0814779786676543,0.205981439317295,2816.64512488951,3.86135525942728,0.845477743124468,0.482421321236178,18.2935922880635,10.702863623476,2.41125602495038,2.32378792174653,45.0422455344485,11.8563935355826,1.94485398355543,2.73235043946697,38.2594272753048,0.00188448493812998,0.00188448493812998,0.00188448493812998,0.00188448493812998
"sd",27.512159236403,6.25502879745071,6.28119620320374,101.181769046268,0.0372073566438242,0.978624317636193,2.07521751169195,1.90297363107362,12275.1071544845,0.64648602106808,0.0417444550263305,0.104483501999634,0.0841240158231551,26637.0853156295,154741.460401996,0.0679397278926599,0.137861102958524,5108.2455569084,4.65248303488205,1.34291735242911,0.894183057861204,19.6183599426981,11.6604763842338,3.19044249808124,2.94190809690502,45.2287808999674,12.9485207352713,2.61135248548173,3.40716498506633,40.337972522608,0.00113086090618914,0.00113086090618914,0.00113086090618914,0.00113086090618914
"quantile0",0,0,0,0,0.288526937193104,16.7080281243012,-8.26069849716086,3.29698690829472,47,24.2766666666667,0.389416553595658,0,0,12317.7621832359,536.062378167641,0,0,5.85810106822612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"quantile25",6,1,1,25,0.326989474572656,20.2044745223677,-3.28565526396398,6.83800274253041,3740.75,26.3792517006803,0.465294117647059,0.0117652554071539,0.00461818363085821,51617.0096899225,201742.083333333,0.0400090088180063,0.102211541696786,273.989533333333,1,0,0,4,2,0,0,11,2,0,0,8,0.00123815423151984,0.00123815423151984,0.00123815423151984,0.00123815423151984
"quantile50",18,3,4,71,0.349979685986405,21.0082451118075,-1.91647519165029,8.21404261431906,10438,26.8357101449275,0.491060786650775,0.0229411895470423,0.0126598410124238,65427,280233.333333333,0.0654546886365178,0.179898900968961,765.451335714286,2,0,0,12,7,1,1,31,8,1,2,25,0.00176191436747099,0.00176191436747099,0.00176191436747099,0.00176191436747099
"quantile75",38,7,8,146,0.382289608314535,21.4422636751248,-0.450617441641063,9.65718542715315,19929.5,27.3420973963356,0.519276160503541,0.0544007470319337,0.0331800871073345,82457.75,374657.553606238,0.102913942421135,0.285511239050732,2646.76033333333,5,1,1,25,15,3,3,65,17,3,4,56,0.00237774998723904,0.00237774998723904,0.00237774998723904,0.00237774998723904
"quantile1",192,55,53,657,0.481640267162164,23.1146094436231,3.75663098942281,15.7920981583712,61878,28.304058790277,0.694444444444444,0.859051306873185,0.868183689509338,203009,1170400,0.615384615384615,0.8125,61428.8816764133,33,14,11,117,90,29,27,299,106,28,26,335,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809
