date,lbeta,pm25,temp,rh
2000-01-01,-4.50176304,21.2763239639027,2.91670833332379,65.4166666666667
2000-01-02,-4.50176304,22.0959624998989,7.12979166662565,88.1666666666667
2000-01-03,-4.627783799,17.280983440011,12.1528749999416,71.7083333333333
2000-01-04,-4.753804558,11.8955749999362,9.32883333326754,91.0416666666667
2000-01-05,-4.711615646,3.60151828928878,1.29633333332701,52.2083333333333
2000-01-06,-4.650978871,6.96507916662934,-1.99074999999054,59.2916666666667
2000-01-07,-4.570503276,11.4389333332801,3.05558333331889,70.7916666666667
2000-01-08,-4.508475544,6.1566999999571,0.810291666661821,48.5833333333333
2000-01-09,-4.508475544,16.0238624999329,5.23145833330818,53.7083333333333
2000-01-10,-4.585075123,14.7773541665938,6.41191666663629,88.7916666666667
2000-01-11,-4.661674703,4.8275994608146,8.10191666663498,57.7083333333333
2000-01-12,-4.754226235,4.17586249997567,3.70374999998542,43.625
2000-01-13,-4.846777767,6.69973333329835,-4.28254166665101,69
2000-01-14,-4.813489239,4.49674583331095,-12.2915833332857,45.1666666666667
2000-01-16,-4.780200711,11.2167833332775,-2.36112499998975,66.5833333333333
2000-01-17,-4.780200711,5.70005833330652,-14.1897916665766,48.2083333333333
2000-01-18,-4.767852724,8.84718333327813,-11.5972083332502,47.5
2000-01-19,-4.685446263,11.259979166595,-9.79166666663271,48
2000-01-20,-4.615387788,18.9920333332169,-7.68529166663939,65.875
2000-01-21,-4.532037347,7.45257499995205,-9.69895833329792,59.375
2000-01-22,-4.448686905,7.82282499995563,-13.6111249999134,39.25
2000-01-23,-4.448686905,14.7958666665994,-9.58337499997045,44.5833333333333
2000-01-24,-4.458840547,26.8536749998554,-3.6573749999831,64.125
2000-01-25,-4.453107199,14.9745069806015,-1.34262499999386,89.6666666666667
2000-01-26,-4.493753673,11.8400374999425,-2.47699999998925,73.0416666666667
2000-01-27,-4.579004466,8.03880416662529,-8.72683333329527,56.4583333333333
2000-01-28,-4.665723825,7.72948464352741,-11.6666249999519,52.125
2000-01-29,-4.723725854,11.2599630830311,-5.50929166664294,42
2000-01-31,-4.737481484,11.9690457966118,1.41212499999104,73.25
2000-02-01,-4.751237115,10.483322059383,-0.67133333333004,59.2916666666667
2000-02-02,-4.820521862,7.66176958096471,-5.34716666663856,52.375
2000-02-03,-4.897055168,10.4052825717266,-4.83808333331642,52.125
2000-02-04,-4.93795095,15.0488136820026,-3.35641666665227,78.625
2000-02-05,-4.971598173,13.1496444635375,-1.31937499999246,58.4166666666667
2000-02-06,-4.971598173,5.38322320643716,-1.94433333331896,45.625
2000-02-07,-4.897752816,7.79814166661769,0.439875000000635,48.875
2000-02-08,-4.823907459,5.60132499996568,-6.29633333331003,41.5
2000-02-09,-4.764859305,9.05082083328246,1.80562499998996,60.6666666666667
2000-02-10,-4.68667492,21.8552999998938,3.33329166664892,71.875
2000-02-11,-4.674312112,15.06595295124,3.21758333331854,89.1666666666667
2000-02-12,-4.681085534,2.04522624732114,-3.44908333331902,45.5
2000-02-13,-4.681085534,13.5123333332522,-1.62029166666192,63.0416666666667
2000-02-14,-4.713711574,14.0306833332579,6.527749999972,82.9583333333333
2000-02-15,-4.746337615,8.21775833329351,2.29166666665393,61.0833333333333
2000-02-16,-4.679567558,17.6035958332359,2.84724999999162,65.8333333333333
2000-02-17,-4.612797502,5.90986666664382,-3.12504166665349,39.75
2000-02-18,-4.576341872,9.16806666662827,-2.59262499998901,59.1666666666667
2000-02-19,-4.539886242,10.3096708332741,-2.10662499999186,81.4166666666667
2000-02-20,-4.539886242,14.5798874999212,0.486208333329463,66.3333333333333
2000-02-21,-4.539886242,12.4756333332722,0.995333333329957,50.25
2000-02-22,-4.480761169,21.5398483616284,1.68974999999288,65.5416666666667
2000-02-23,-4.526550899,14.1787833332807,6.15749999998297,63.25
2000-02-24,-4.631465703,30.3895624998695,10.2314166666329,66.8333333333333
2000-02-25,-4.772809538,15.8140541666047,4.00470833331807,94.0833333333333
2000-02-26,-4.914153373,13.4691374999408,3.95820833331648,94
2000-02-27,-4.914153373,18.4983666665673,9.16666666662544,90.8333333333333
2000-02-28,-4.964418725,3.6019749999817,8.81933333329289,81.7916666666667
2000-02-29,-5.014684077,3.50324166665212,5.23145833331485,52.4583333333333
2000-03-01,-5.071458791,7.95997833328875,4.72208333331097,69.6666666666667
2000-03-02,-5.160788172,5.40838499996729,5.83333333331151,60.7083333333333
2000-03-03,-5.197103967,3.41167583331783,3.54174999997971,58.75
2000-03-04,-5.200865094,4.31172416664776,5.39354166664574,43
2000-03-05,-5.200865094,6.55310666663475,6.45829166663922,50.3333333333333
2000-03-06,-5.140281919,4.8523706920235,5.23149999997622,40.4583333333333
2000-03-07,-5.079698743,8.18033638046567,9.07416666662599,38.9166666666667
2000-03-08,-5.047928645,7.97308583329626,6.85187499997604,71.1666666666667
2000-03-09,-5.065449701,17.4279624999253,13.1018749999469,71.5833333333333
2000-03-10,-5.153307105,4.70057999997819,5.92587499997778,66.0833333333333
2000-03-11,-5.191873353,5.80597916664313,3.26379166665235,81.8333333333333
2000-03-12,-5.191873353,5.43459999996776,3.86570833332189,91.0416666666667
2000-03-13,-5.040581802,4.91029999997651,1.55087499999354,44.5416666666667
2000-03-15,-4.884177566,11.507352244612,9.28241666664447,64.4166666666667
2000-03-16,-4.932923751,13.2423008332626,13.1480833332656,69.4583333333333
2000-03-17,-4.986782621,4.71977407474341,-0.694458333327324,81.8333333333333
2000-03-18,-4.986782621,6.54873749997205,-4.05091666664885,51.8333333333333
