"Estimate" "Std. Error" "t value" "Pr(>|t|)"
"(Intercept)" -6.43500568083545 0.817983783775384 -7.8669110665432 4.18056466583927e-15
"pm25" 0.0193056552099198 0.0100496649653471 1.92102475818735 0.0547689991209034
"summer_tmean" -0.0196850098352222 0.0255451258958192 -0.770597487579575 0.440971457911232
"winter_tmean" 0.0241895974215938 0.0141818803286634 1.70566926676877 0.0881138679755034
"medhouseholdincome" -5.24928366122175e-06 1.10775071169557e-06 -4.73868678737922 2.19336912697972e-06
"medianhousevalue" -1.64480368231028e-07 1.90115794533086e-07 -0.865158881906591 0.386981124209775
"hispanic" -0.837636704828356 0.179274453098789 -4.67237071623795 3.03286024725118e-06
"pct_blk" -0.758924384807576 0.18577024798204 -4.08528487769983 4.45122024791241e-05
"poverty" -0.426780232368344 0.255322351079854 -1.67153494617032 0.0946605873278789
"education" 0.556246312472566 0.130280959904901 4.2695902216149 1.984093773091e-05
"popdensity" -2.26686759611623e-05 4.37919465889743e-06 -5.17644857716137 2.3242115622398e-07
"mean_bmi" -0.00440160957985268 0.0241260786043567 -0.182441981228472 0.855241145183935
"smoke_rate" -0.83122307895447 0.291874744796327 -2.8478759939799 0.00441398105526856
"as.factor(year)2002" -0.0322267325976571 0.029293183386405 -1.1001444319846 0.271306883336839
"as.factor(year)2003" 0.0471702096399885 0.0477271907583565 0.988329899381927 0.323025135877003
"as.factor(year)2004" -0.110309730955576 0.0476895382973431 -2.31308028750032 0.0207469581788506
"as.factor(year)2005" -0.140616420326406 0.0536853317190531 -2.6192707732958 0.00883072878845284
"as.factor(year)2006" -0.297375955005053 0.0512284982236375 -5.80489308327683 6.72122192429058e-09
"as.factor(year)2007" -0.20854313687229 0.0548792992771729 -3.80003279231071 0.000145899139442861
"as.factor(year)2008" -0.185931998651141 0.0549028546342785 -3.38656341076763 0.000711620735842772
"as.factor(year)2009" -0.253350653554648 0.0680869630944377 -3.72098625111604 0.000199994851165749
"as.factor(year)2010" -0.258357117962869 0.0746631547726493 -3.46030272561575 0.000542775013462065
"as.factor(year)2011" -0.377348346521469 0.0640251972696691 -5.89374750275437 3.94999186650163e-09
"as.factor(year)2012" -0.480002830597087 0.0703812063963061 -6.82004266727488 9.85838457799965e-12
"as.factor(year)2013" -0.369067680269328 0.0701954963122618 -5.2577116718079 1.5015849874826e-07
"as.factor(year)2014" -0.462210145759254 0.0756436952707772 -6.11035915293016 1.04717324133607e-09
"as.factor(year)2015" -0.390300684024143 0.0812436054232169 -4.80407881938492 1.58688988426645e-06
