"","year","CVD","MI","stroke","TOT","Beta","summer_tmean","winter_tmean","pm25","pcount","mean_bmi","smoke_rate","hispanic","pct_blk","medhouseholdincome","medianhousevalue","poverty","education","popdensity","CVD1865","MI1865","stroke1865","TOT1865","CVD6585","MI6585","stroke6585","TOT6585","CVD85","MI85","stroke85","TOT85","CVDrate","MIrate","strokerate","TOTrate"
"mean",2008,26.4187965575254,5.20044901308569,5.53789409616323,101.593468579274,0.355652341855024,20.7758598971313,-1.887739060259,8.29402616649202,13694.645075867,26.8241011608932,0.495182807786546,0.0582249683520875,0.0376882812913103,69627.8384647049,309858.142685645,0.0814783116544869,0.205947517077543,2816.62326238911,3.86128694961669,0.845356208501464,0.482383448983511,18.2935796608747,10.7011653575182,2.41048397348016,2.32335569806614,45.038787734259,11.8563442503905,1.94460883110407,2.73215494911357,38.2611011841405,0.00188432691252542,0.000371902669367658,0.000404889256304421,0.00723900047619921
"sd",4.47213595499958,2.32078514232861,1.40013678915177,0.8791565196012,3.96420924901676,0.0294611033954712,0.575497928426975,1.43201699070316,1.51586919109475,265.562445707191,0.393300714143171,0.0129411329254797,0.00960166621714641,0.00391417600030387,8492.17599926451,69081.3925945018,0.00117641654865142,0.0445177610140205,64.4092018099777,0.220134794002458,0.193258145106984,0.0509423250248507,0.511247850959317,1.99595690702524,0.861192579292473,0.579681482577296,4.2291941379253,0.405054000521047,0.364136415202932,0.265421531855013,2.98229641508665,0.00019184551704969,0.000108128545544398,6.07012076741928e-05,0.000421196225213016
"10percentile",2002.4,24.2574468085106,3.83489361702128,4.69744680851064,97.793402900122,0.315604448409562,19.986964158091,-3.46733529429759,6.4318830580626,13436.4995744681,26.1814166328248,0.482065450390108,0.0442660687485422,0.0320640436405916,56882.351881007,204675.033296143,0.0800793859583466,0.164840551937461,2713.47632122282,3.67787234042553,0.65063829787234,0.419148936170213,17.7354962280345,8.79489361702128,1.63957446808511,1.76,41.4255319148936,11.3621412115463,1.53148936170213,2.52127659574468,35.1500249121342,0.00169938143309319,0.000264941225364759,0.000351084004291827,0.00682990165196644
"25percentile",2004.5,24.9893617021277,4.07553191489362,4.86595744680851,99.1244680851064,0.335724905287212,20.5228098965683,-2.88270055932438,7.15280535237461,13500.0900212314,26.6323099488106,0.485924238993853,0.0480973485149999,0.0336032155457164,60658.4684495038,238574.013846572,0.0804066219584477,0.177795877644328,2789.58463915406,3.72872340425532,0.685106382978723,0.454255319148936,18.0234042553192,9.16702127659574,1.72021276595745,1.83085106382979,41.8404255319149,11.5702127659574,1.66063829787234,2.54787234042553,36.1904255319149,0.00176423467869292,0.00028744910826167,0.000360299352142802,0.00697984024530642
"50percentile",2008,26.0297239915074,4.84042553191489,5.20851063829787,100.191489361702,0.353664392082055,20.8170119323171,-2.14100790284471,8.27861399494519,13626.6595744681,27.009958544741,0.493938042820531,0.063271988376714,0.0396903551061154,75303.034751773,352454.540185145,0.0817776670838335,0.181426917146852,2826.73469797589,3.75531914893617,0.776595744680851,0.487234042553191,18.2255319148936,10.468085106383,2.11914893617021,2.17234042553191,44.1936170212766,11.7829787234043,1.90425531914894,2.62978723404255,36.7148936170213,0.00185720613289383,0.000331011014715627,0.000378252362741999,0.00705501568120213
"75percentile",2011.5,26.9329787234043,6.11292632244658,6.03007860143651,104.883462282398,0.384664820143116,21.0665734596378,-1.083889169647,9.46015419426467,13862.3319148936,27.1124931672555,0.501321249982188,0.0643119693423965,0.0401141615302447,75488.3529078014,361304.944578216,0.0824731597421094,0.253050847720286,2850.6021691766,3.9968085106383,1.02025568053485,0.521791570673533,18.4165197247087,11.5255635361612,2.94488413064101,2.68297872340426,46.181914893617,12.1808510638298,2.14778651127072,2.8438835433889,40.5053191489362,0.0018799334634069,0.000425054351533076,0.000426505732659261,0.00757863545097856
"90percentile",2013.6,30.3225531914894,7.42127659574468,6.96708020331969,107.270638297872,0.388192713187344,21.4593464694626,0.322879802018567,9.98323987073653,14082.3868085106,27.115877341903,0.509620764276571,0.0674256129973532,0.0412453218189008,76255.34,363447.550538173,0.0828450594673282,0.270885457771711,2887.26930275624,4.13898700013495,1.11252845126175,0.550212765957447,19.0331914893617,13.7617021276596,3.72893617021277,3.23674688498043,52.0540425531915,12.3170212765957,2.47349736853943,3.17205343889164,41.6106382978723,0.00221057026290338,0.000549563211835589,0.000507560885452863,0.00790042758665689
