"","RR","RR_lci","RR_uci"
"TOT",1.01432990424349,0.9931037046363,1.03600978411355
"TOT",1.0365322250461,1.01763599531263,1.05577933417042
"TOT",1.06855870243136,1.05094614205116,1.08646642758806
"CVD",1.01507126624741,0.978063643693972,1.05347916999511
"CVD",1.04492771156445,1.01193403830045,1.07899712932784
"CVD",1.08837747147077,1.05782219954171,1.11981533467373
"MI",0.989390921090193,0.91533029832323,1.06944388984928
"MI",1.01910721339314,0.953692573816489,1.08900870249386
"MI",1.06238448994725,1.00328949880263,1.12496024908809
"stroke",1.00280667177688,0.932202931280897,1.07875784039688
"stroke",1.03488079662326,0.972119367588974,1.10169419407393
"stroke",1.08169846190168,1.02430846523209,1.1423039076567
