"","estimate","se"
"pm25_beta10",-0.000164443255139618,0.00767037506770781
"pm25_beta25",0.00911646513599709,0.00685440185385694
"pm25_beta50",0.0210919035205658,0.00601561957712047
"pm25_beta75",0.037921913348981,0.00543894483406048
"pm25_beta90",0.0512173115232002,0.00560719784783637
