"","estimate","se"
"pm25_beta10",-0.0130493803338718,0.0159811307536772
"pm25_beta25",-0.00213441464388636,0.0142991723319844
"pm25_beta50",0.0119494975747637,0.0125486557523323
"pm25_beta75",0.0317427087667525,0.0112725354290978
"pm25_beta90",0.0473789815097189,0.0115112770494357
