"","estimate","se"
"pm25_beta10",-0.00266296272455133,0.00759533763614572
"pm25_beta25",0.0053060946414813,0.00672081192531561
"pm25_beta50",0.0155888117471857,0.00580624113569719
"pm25_beta75",0.0300399094351682,0.00515346714821652
"pm25_beta90",0.0414560107788451,0.00531962299511064
